Temps/Algorithme;BellmanFord (point fixe);Djikstra
Graphe1.txt;1,389;0,316;
Graphe2.txt;0,206;0,169;
Graphe4.txt;0,061;0,024;
Graphe5.txt;0,029;0,029;
Graphe11.txt;0,198;0,117;
Graphe12.txt;0,086;0,076;
Graphe13.txt;0,145;0,130;
Graphe14.txt;0,140;0,074;
Graphe15.txt;0,057;0,050;
Graphe21.txt;0,287;0,181;
Graphe22.txt;0,319;0,173;
Graphe23.txt;0,192;0,202;
Graphe24.txt;0,306;0,202;
Graphe25.txt;0,333;0,102;
Graphe31.txt;0,494;0,249;
Graphe32.txt;0,396;0,423;
Graphe33.txt;0,412;0,235;
Graphe34.txt;0,421;0,249;
Graphe35.txt;0,345;0,200;
Graphe41.txt;0,536;0,344;
Graphe42.txt;0,708;0,343;
Graphe43.txt;0,524;0,309;
Graphe44.txt;0,597;0,323;
Graphe45.txt;0,673;0,254;
Graphe51.txt;1,101;0,426;
Graphe52.txt;1,042;0,427;
Graphe53.txt;0,828;0,454;
Graphe54.txt;0,750;0,332;
Graphe55.txt;0,760;0,380;
Graphe61.txt;1,614;0,900;
Graphe62.txt;1,147;0,623;
Graphe63.txt;1,779;0,640;
Graphe64.txt;1,447;0,623;
Graphe65.txt;1,156;0,628;
Graphe71.txt;2,653;0,865;
Graphe72.txt;2,016;0,825;
Graphe73.txt;2,142;0,825;
Graphe74.txt;0,857;0,847;
Graphe75.txt;0,977;0,933;
Graphe81.txt;1,266;1,167;
Graphe82.txt;1,850;1,243;
Graphe83.txt;1,198;0,762;
Graphe84.txt;1,602;0,723;
Graphe85.txt;1,169;0,517;
Graphe91.txt;1,539;0,685;
Graphe92.txt;1,151;0,618;
Graphe93.txt;1,397;0,684;
Graphe94.txt;1,576;0,713;
Graphe95.txt;2,162;0,761;
Graphe101.txt;2,278;3,722;
Graphe102.txt;2,616;0,949;
Graphe103.txt;1,478;0,487;
Graphe104.txt;1,218;0,505;
Graphe105.txt;1,523;0,720;
Graphe201.txt;4,539;2,917;
Graphe202.txt;6,304;3,025;
Graphe203.txt;4,516;2,628;
Graphe204.txt;7,442;2,725;
Graphe205.txt;9,481;2,183;
Graphe301.txt;8,518;4,314;
Graphe302.txt;8,692;4,118;
Graphe303.txt;18,923;6,114;
Graphe304.txt;10,955;5,587;
Graphe305.txt;8,846;5,617;
Graphe401.txt;20,392;10,441;
Graphe402.txt;17,289;8,566;
Graphe403.txt;26,264;7,369;
Graphe404.txt;17,330;6,321;
Graphe405.txt;12,954;9,425;
Graphe501.txt;23,806;10,148;
Graphe502.txt;22,604;10,151;
Graphe503.txt;20,573;10,122;
Graphe504.txt;24,246;9,558;
Graphe505.txt;20,364;10,134;
Graphe601.txt;30,829;16,340;
Graphe602.txt;30,707;15,020;
Graphe603.txt;35,831;15,150;
Graphe604.txt;30,764;14,898;
Graphe605.txt;29,623;14,686;
Graphe701.txt;43,723;28,903;
Graphe702.txt;46,011;22,584;
Graphe703.txt;47,550;33,235;
Graphe704.txt;45,547;22,494;
Graphe705.txt;57,826;32,242;
Graphe801.txt;55,762;32,785;
Graphe802.txt;59,191;30,745;
Graphe803.txt;72,744;41,923;
Graphe804.txt;62,040;46,770;
Graphe805.txt;141,819;56,135;
Graphe901.txt;110,776;74,432;
Graphe902.txt;100,457;54,296;
Graphe903.txt;79,003;86,768;
Graphe904.txt;88,759;38,447;
Graphe905.txt;74,472;85,588;
