Nombre de noeuds par Graphe;BellmanFord (point fixe);Djikstra
10;1,202;0,186;
10;0,178;0,119;
3;0,033;0,012;
3;0,024;0,019;
10;0,115;0,090;
10;0,060;0,055;
10;0,082;0,082;
10;0,077;0,133;
10;0,060;0,051;
20;0,229;0,152;
20;0,264;0,188;
20;0,175;0,143;
20;0,231;0,146;
20;0,209;0,077;
30;0,341;0,148;
30;0,321;0,150;
30;0,377;0,241;
30;0,249;0,148;
30;0,192;0,106;
40;0,514;0,275;
40;0,490;0,292;
40;0,426;0,213;
40;0,368;0,206;
40;0,346;0,202;
50;1,011;0,407;
50;1,049;0,506;
50;0,802;0,500;
50;0,610;0,270;
50;0,809;0,308;
60;1,028;0,528;
60;0,990;0,402;
60;1,483;0,423;
60;1,024;0,491;
60;1,149;0,518;
70;1,758;0,684;
70;1,701;0,554;
70;1,894;0,474;
70;0,997;0,648;
70;0,821;0,527;
80;1,089;0,947;
80;1,243;0,652;
80;0,986;0,486;
80;1,373;0,467;
80;1,178;0,483;
90;1,749;0,581;
90;1,506;0,562;
90;1,381;0,473;
90;1,603;0,603;
90;1,460;0,489;
100;1,792;0,491;
100;1,969;0,809;
100;2,920;0,741;
100;1,241;0,707;
100;2,714;0,725;
200;10,924;5,016;
200;6,316;1,990;
200;7,329;3,125;
200;5,975;2,177;
200;9,201;4,166;
300;20,395;7,543;
300;12,852;5,146;
300;8,914;3,081;
300;11,454;5,050;
300;12,872;5,808;
400;23,452;10,055;
400;19,248;10,544;
400;25,973;8,602;
400;26,944;9,009;
400;17,554;7,772;
500;27,636;13,713;
500;29,639;11,966;
500;27,738;14,340;
500;20,937;9,966;
500;28,317;13,462;
600;40,939;27,529;
600;41,793;16,803;
600;36,576;20,879;
600;40,730;16,188;
600;32,823;18,529;
700;45,406;22,875;
700;46,620;24,107;
700;48,780;22,992;
700;42,714;21,129;
700;50,586;23,234;
800;68,516;33,308;
800;49,504;26,528;
800;62,751;32,207;
800;63,021;30,365;
800;70,507;30,799;
900;86,762;41,122;
900;58,893;35,657;
900;77,821;42,419;
900;57,186;33,303;
900;80,462;40,761;
