Nombre de noeuds;Nombre d'arcs (Arche);Nombre d'arcs (Graphes générés)
10;39;66
10;42;74
3;4;5
3;5;5
10;45;66
10;35;58
10;35;64
10;41;65
10;30;65
20;130;247
20;121;262
20;115;247
20;136;248
20;117;228
30;244;594
30;274;544
30;259;569
30;263;565
30;248;566
40;441;986
40;454;1021
40;426;988
40;466;1021
40;474;985
50;693;1560
50;704;1485
50;667;1524
50;701;1561
50;697;1439
60;1002;2032
60;935;2271
60;977;2224
60;977;2367
60;965;2270
70;1285;3109
70;1302;3004
70;1316;3000
70;1329;2830
70;1278;2998
80;1675;3761
80;1714;3953
80;1693;3890
80;1724;4018
80;1668;4085
90;2107;4972
90;2094;4832
90;2103;4900
90;2167;4972
90;2165;5188
100;2685;6184
100;2604;6342
100;2696;6105
100;2567;6105
100;2547;6181
200;10155;24121
200;10342;23651
200;10135;24762
200;10053;23649
200;10209;23969
300;22810;55029
300;22796;56228
300;22962;54555
300;22858;54063
300;22927;54298
400;40626;97212
400;40450;98804
400;40562;98169
400;40476;95283
400;40687;99118
500;63138;150514
500;63276;152501
500;63000;151299
500;62743;152898
500;63101;151305
600;90362;219726
600;90545;219244
600;90577;220195
600;90432;216376
600;90743;219240
700;122868;294705
700;123154;293587
700;123216;299176
700;122934;300294
700;123490;294144
800;161216;388345
800;160776;386407
800;161180;392157
800;161005;388342
800;160289;387687
900;203379;487640
900;202692;493392
900;204447;494120
900;202857;494103
900;202660;491231
