Temps/Algorithme;BellmanFord (point fixe);Djikstra
Graphe1.txt;1,165;0,263;
Graphe2.txt;0,186;0,178;
Graphe4.txt;0,058;0,026;
Graphe5.txt;0,029;0,026;
Graphe11.txt;0,154;0,073;
Graphe12.txt;0,119;0,074;
Graphe13.txt;0,073;0,071;
Graphe14.txt;0,141;0,071;
Graphe15.txt;0,078;0,068;
Graphe21.txt;0,279;0,166;
Graphe22.txt;0,193;0,115;
Graphe23.txt;0,136;0,141;
Graphe24.txt;0,207;0,116;
Graphe25.txt;0,317;0,164;
Graphe31.txt;0,578;0,276;
Graphe32.txt;0,290;0,147;
Graphe33.txt;0,236;0,141;
Graphe34.txt;0,506;0,212;
Graphe35.txt;0,321;0,181;
Graphe41.txt;0,370;0,198;
Graphe42.txt;0,364;0,201;
Graphe43.txt;0,509;0,248;
Graphe44.txt;0,512;0,301;
Graphe45.txt;0,465;0,258;
Graphe51.txt;0,904;0,485;
Graphe52.txt;0,927;0,300;
Graphe53.txt;0,745;0,429;
Graphe54.txt;0,789;0,346;
Graphe55.txt;0,978;0,428;
Graphe61.txt;1,426;0,586;
Graphe62.txt;1,039;0,482;
Graphe63.txt;1,601;0,710;
Graphe64.txt;1,449;0,582;
Graphe65.txt;1,070;0,442;
Graphe71.txt;1,927;0,709;
Graphe72.txt;2,014;0,806;
Graphe73.txt;3,035;0,854;
Graphe74.txt;0,856;0,744;
Graphe75.txt;0,903;0,780;
Graphe81.txt;0,929;1,003;
Graphe82.txt;1,303;0,705;
Graphe83.txt;1,168;0,805;
Graphe84.txt;1,211;0,495;
Graphe85.txt;1,170;0,501;
Graphe91.txt;1,612;0,620;
Graphe92.txt;0,784;0,475;
Graphe93.txt;0,903;0,417;
Graphe94.txt;1,442;0,691;
Graphe95.txt;1,430;0,599;
Graphe101.txt;2,304;0,806;
Graphe102.txt;1,734;0,756;
Graphe103.txt;1,948;0,903;
Graphe104.txt;1,786;0,734;
Graphe105.txt;1,654;0,757;
Graphe201.txt;4,834;2,030;
Graphe202.txt;5,287;2,052;
Graphe203.txt;4,388;2,921;
Graphe204.txt;5,676;2,180;
Graphe205.txt;5,210;1,839;
Graphe301.txt;8,965;4,106;
Graphe302.txt;8,524;4,137;
Graphe303.txt;11,121;4,311;
Graphe304.txt;8,222;4,375;
Graphe305.txt;8,140;3,996;
Graphe401.txt;14,410;7,192;
Graphe402.txt;15,508;8,499;
Graphe403.txt;18,493;6,974;
Graphe404.txt;18,715;6,882;
Graphe405.txt;13,481;6,754;
Graphe501.txt;24,085;11,248;
Graphe502.txt;27,938;11,548;
Graphe503.txt;23,706;10,836;
Graphe504.txt;19,825;10,733;
Graphe505.txt;21,288;10,919;
Graphe601.txt;30,781;15,770;
Graphe602.txt;33,875;19,243;
Graphe603.txt;35,795;18,108;
Graphe604.txt;30,592;16,302;
Graphe605.txt;29,797;15,595;
Graphe701.txt;41,857;23,336;
Graphe702.txt;41,430;23,120;
Graphe703.txt;40,817;22,821;
Graphe704.txt;39,837;22,208;
Graphe705.txt;44,000;25,868;
Graphe801.txt;55,678;32,534;
Graphe802.txt;52,130;29,862;
Graphe803.txt;54,555;30,672;
Graphe804.txt;56,534;31,625;
Graphe805.txt;51,653;29,157;
Graphe901.txt;69,630;42,499;
Graphe902.txt;67,818;40,536;
Graphe903.txt;69,771;41,749;
Graphe904.txt;67,917;40,743;
Graphe905.txt;72,498;48,502;
